id,area,feature,user_story,expected_behavior,hermes_relevance,status,error_notes
F038,gate,Loopback guard on server binding,"As a security-conscious operator, I need the answer-gate to refuse to bind to a non-loopback address by default so grill-card answers cannot be submitted from outside the local machine.","startHwqServer rejects (never starts) if host is not in {127.0.0.1, ::1, localhost, 0:0:0:0:0:0:0:1} and allowExternal is not set — a synchronous pre-flight, not a per-request header check. `htw serve` has the same guard (stderr + exit 1 without binding). Both accept --allow-external / allowExternal:true to override. Default host is 127.0.0.1 in CLI and programmatic API. [code: server/hwq-server.mjs:41-45,216-220; src/commands/serve.mjs:28,91-99]","A Hermes host starting the gate via startHwqServer must use 127.0.0.1 or explicitly pass allowExternal:true. Binding to 0.0.0.0 yields a rejected Promise, not a running server. Loopback default ensures the gate is never inadvertently reachable from Tailscale/internet without explicit opt-in.",tested-pass,
F039,gate,File-backed store (hwq-store.mjs) — persistence and shape,"As the gate server surviving a restart or crash, I need ask state (open questions, submissions, delivery progress) persisted to disk so the grill loop resumes without loss.",All ops read/write {dataDir}/hwq.json (default {cwd}/data/hwq.json). configureStore({dataDir}) re-points the location — `htw serve` calls it with {root}/data so the store lives in the consuming repo. Keyed by docKey. normalizeAsk coerces persisted records to the current generic shape (strips legacy hermes-typed fields). readState returns {} on missing file or parse error — never throws. Writes mkdir({recursive:true}). No in-memory cache: every op re-reads and re-writes the JSON. [code: server/hwq-store.mjs:56-98; src/commands/serve.mjs:104],"A private Hermes host should call configureStore (or pass dataDir to createHwqHandler) to place hwq.json inside the target repo, not the Hermes process CWD — otherwise a restart could relocate the file. A submitted answer survives a server restart: the next /result returns the stored submission, and the grill-ask poll loop retries on any fetch error.",tested-pass,
F040,gate,onAnswer delivery loop — exponential backoff with audit trail,"As an agent whose onAnswer delivery failed (e.g. transient network error posting to the Hermes thread), I need automatic retries with backoff so the answer reaches me without manual intervention.","After a failed deliverAsk, store records delivery.status='error', increments attempts, sets error. The 5s setInterval scan calls shouldRetry: backoff = min(60000, max(2000, 1000 * 2^min(attempts,6))) ms since lastAttemptAt (saturates at 60s after 6 failures). On success: status='delivered', deliveredAt set, result holds the onAnswer return value. listPendingDeliveryAsks returns all asks with a submission and delivery.status !== 'delivered' — failed deliveries stay queued indefinitely (no give-up limit). scanInFlight mutex prevents concurrent scans. DELIVERY_SCAN_INTERVAL_MS=5000, MAX_DELIVERY_BACKOFF_MS=60000. [code: server/hwq-server.mjs:39-40,87-120,170-176; server/hwq-store.mjs:153-215]","Core reliability mechanism for Hermes. Hermes's onAnswer (async, posts to the thread API) self-heals transient failures (thread not yet ready, rate limit) without re-prompting. Hermes reads delivery.status from /result to confirm end-to-end delivery, not just local submission.",tested-pass,
F041,gate,HWQ-ANSWERS contract — stdout markers and payload shape,"As a Hermes agent or Claude Code session reading `htw grill ask` output, I parse the stdout between the marker lines to extract the structured submission and act on the human's decisions.","Stdout is `\n===HWQ-ANSWERS-BEGIN===\n` + 2-space-indent JSON of the submission + `\n===HWQ-ANSWERS-END===\n`. Submission shape: {doc:string, docKey:string, total:number, answers:[{id,title,decision,comment}], payload:string, submittedAt:number}. Optional sections AFTER the END marker: `----- paste-ready payload -----` if payload non-empty, and `----- delivery -----` if j.delivery present. All non-answer output (progress, errors) goes to stderr only. answers[].decision is the primary signal: 'approve'=accept, 'custom'/'disapprove'=override. [code: src/commands/grill.mjs:136-143,237-243; server/hwq-server.mjs:62-74]",The machine-readable output contract Hermes parses. Markers are unambiguous delimiters surviving stdout pollution from other htw output. Hermes extracts the JSON between markers; sections after END are human-oriented and ignored.,fixed,"Stdout/stderr separation works correctly: ===HWQ-ANSWERS-BEGIN===/===HWQ-ANSWERS-END=== markers on their own lines, JSON between, paste-ready payload section after END, all status messages to stderr. --no-wait/--background/--open-only all produce {ok:true, docKey, openAt, mode:'open-only'} on stdout and exit 0. stdin-fallback produces same markers with source:'stdin-fallback'. One UX issue: the timeout display in the 'waiting for submission' stderr message uses `Math.round(timeoutMs / 60000)` which produces 'timeout 0m' for any --timeout under 30000ms (e.g. --timeout 8000 → '0m', --timeout 1500 → '0m'). The default 30min shows '30m' correctly. This is confirmed from source: grill.mjs:222 `Math.round(timeoutMs / 60000) + 'm'`. For short agent timeouts (e.g. 5min = 300000ms → '5m') this resolves correctly, but sub-minute debug timeouts show the misleading '0m'. | FIXED P3"
F042,config,Six-level config probe with deep merge,"As an agent running htw in any repo, I want the engine to automatically find and merge all config layers so I never assemble config myself or know the exact file layout.","loadConfig(root) probes six sources in fixed precedence: (1) BUILTIN_DEFAULTS, (2) {PACKAGE_ROOT}/config/defaults.json, (3) {root}/.claude/skill-config/doc/config.json, (4) {root}/.agents/skill-config/doc/config.json, (5) {root}/.claude/skill-config/workflow/config.json, (6) {root}/.agents/skill-config/workflow/config.json (CANONICAL, highest). Deep-merged: plain objects merge key-by-key; scalars/arrays/null replace wholesale (a higher null DOES override). Missing files silently skipped (readJson returns null). Always includes root + packageRoot. [code: src/config.mjs:57-99]","Every command calls loadConfig(process.cwd()) at startup. Hermes writes per-repo overrides to .agents/skill-config/workflow/config.json (source 6, wins all). Unknown keys are inert — Hermes can add agent-guidance fields without breaking anything. Resolution is synchronous at configure() time (no race).",tested-pass,
F043,config,BUILTIN_DEFAULTS backward-compatibility guarantee,"As a developer with the Homebase repo and no htw config, I want htw to produce byte-identical output to before config support, so upgrading the engine never silently changes rendered docs.","Every BUILTIN_DEFAULTS value equals the previous Homebase hardcode: overlayDir='.agents/skill-config/doc', catalogPath='src/modules/docs/catalog.ts', sourcesDir='docs/sources', prdsDir='docs/prds', plansDir='docs/plans', docsIndexRoute='/docs', stagesPath=null, themeFile=null, answerGate.base='/api/hwq', answerGate.mode='none', brandName='Docs'. A repo with zero config renders identically to the prior engine version. [code: src/config.mjs:33-48]",Hermes can invoke htw against a legacy repo (no config) with no setup and get valid output. The only surprise is catalogPath defaults to the Homebase .ts path; for a new repo Hermes should run `htw init` first to get the generic .json catalog from defaults.json.,tested-pass,
F044,config,Bundled defaults diverge from BUILTIN_DEFAULTS on two keys,"As a new user running htw init in a fresh repo, I want the bundled public defaults to reflect the generic (non-Homebase) layout so my repo does not inherit Homebase-specific paths.","config/defaults.json overrides two keys vs BUILTIN_DEFAULTS: doc.catalogPath='docs/catalog.json' (not the .ts) and doc.docsIndexRoute='/prds' (not '/docs'). It stamps engineVersion='0.1.0' and echoes all other keys identically. As source 2 (above BUILTIN_DEFAULTS source 1), the bundled file wins these two keys for any repo without a per-repo override. [code: config/defaults.json:1-15; src/config.mjs:84]","After `htw init` (which writes the defaults.json-matching starter), the catalog is at docs/catalog.json and the back-link points to /prds. Hermes uses these paths when navigating the output.",tested-pass,
F045,config,brandName config key,"As a project author, I want to set the brand name shown in rendered docs so the doc site reflects my project name rather than the generic 'Docs' label.",config.brandName is a top-level string; default 'Docs' in both BUILTIN_DEFAULTS and defaults.json. `htw init` sets it to basename(root) (the consuming repo's directory name). The engine reads it; a per-repo override in the canonical config wins. [code: src/config.mjs:37; src/commands/init.mjs:91],"Hermes sets brandName when bootstrapping a project. Pure display label — changing it never affects routing, paths, or API behavior.",tested-pass,
F046,config,doc.overlayDir — repo-local overlay directory,"As a project author, I want to keep repo-local doc templates and theme files in a predictable directory so the engine finds them without per-file config.","doc.overlayDir is the relative dir holding repo-local overlay files such as templates/theme.css; default '.agents/skill-config/doc'. The engine checks for a repo overlay theme at join(overlayDir,'templates/theme.css') during theme resolution (tiers 3 of the cascade). Changing this key relocates all overlay lookups. [code: src/config.mjs:39; src/doc-kit.mjs:59,89]",Hermes need not change overlayDir — the default is the canonical agents home. A custom theme.css must go at {overlayDir}/templates/theme.css relative to repo root.,tested-pass,
F047,config,doc.themeFile — tier-1 full theme replacement,"As a brand author, I want to supply my own complete CSS that fully replaces the engine's bundled theme so my site has its own identity with no inheritance from defaults.","When doc.themeFile is a non-null/non-empty path (absolute or repo-relative), resolveThemePath() returns it directly and resolveThemeTokensPath() returns null (themeFile wins; themeTokens ignored). themeCss() reads the file verbatim and inlines it into every page. This is the highest-precedence theme override. A missing file does NOT fall back gracefully — readText() throws; the path must exist. [code: src/doc-kit.mjs:77-92,98-102,107-111]",Hermes ensures the themeFile path exists before invoking render — a missing file is a hard render failure with no fallback. This is how Homebase keeps its orange Raw Concrete palette while using the engine. Must NOT set both themeFile and themeTokens expecting both to apply.,tested-pass,
F048,config,doc.themeTokens — tier-2 :root token patch,"As a project author who wants a different palette but no custom components, I want to write a ~15-line :root{} block that re-skins the whole surface without touching the engine.","When doc.themeFile is null/absent and doc.themeTokens points to an existing file, resolveThemeTokensPath() resolves it (isAbsolute check + existsSync; missing => returns null silently, never crashes a render). themeCss() concatenates base theme + separator comment + patch CSS. The patch's :root, appended after base, wins the cascade and overrides any base token. The patch may add @media (prefers-color-scheme: dark). Ignored when themeFile is set (tier-1 wins). [code: src/doc-kit.mjs:94-111]","Lightweight theming for agent-configured repos: write a small :root{} patch, set the key, invoke render. A missing patch file is safe (silent fallback to base). The patch is CSS, not JSON — Hermes must write valid CSS; invalid CSS is inlined verbatim and may produce broken styling.",tested-pass,
F049,config,Three-tier theme resolution cascade + repo-overlay discovery,"As an engine consumer, I want a clear priority order for theme CSS so I know exactly which file wins when multiple theme sources exist, including a repo overlay.","resolveThemePath() precedence: (1) doc.themeFile set => return it (themeTokens ignored); (2) overlayTheme = join(overlayDir,'templates/theme.css') under ROOT, if existsSync => return it; (3) bundled join(PACKAGE_ROOT,'templates/theme.css'). For tier-2 token patches the BASE is the overlay theme if present, else the package theme — never the repo root's random files. A repo overlay (e.g. Homebase's .agents/skill-config/doc/templates/theme.css) is auto-discovered and preferred over the bundled default with no config key. Read at render time, so changes take effect on the next render. [code: src/doc-kit.mjs:75-111; src/config.mjs:39]",Agents in a repo with an overlay theme need no config change — the engine finds it automatically (this kept Homebase's theme byte-identical after extraction). A fresh repo (htw init) lands at the bundled theme unless files are explicitly placed.,tested-pass,
F050,config,doc.catalogPath — dual-path .json/.ts catalog,"As a doc author running htw register, I want the catalog stored in the right format for my repo type (JSON array for generic repos, TypeScript for Homebase) so register/verify work without configuration.","doc.catalogPath is the catalog path. BUILTIN_DEFAULTS='src/modules/docs/catalog.ts'; defaults.json (and htw init's starter)='docs/catalog.json'. When it ends in .json, register writes a JSON-array catalog and verify parses by id/href. When .ts, the engine does an in-place TS splice. If the .ts path does not exist on a non-Homebase repo, register warns and skips instead of crashing. [code: src/doc-kit.mjs:1829-1842; src/commands/init.mjs:97]","On a freshly initialized repo, register produces a JSON-array catalog at docs/catalog.json — strictly better for Hermes than the TS splice; it can read/parse it directly to enumerate registered docs.",tested-pass,
F051,config,doc.sourcesDir — source .doc.md directory,"As an agent authoring docs, I want htw commands to find my .doc.md sources in the configured directory so I do not specify paths on every command.",doc.sourcesDir (relative to root) is where .doc.md sources live; default 'docs/sources'. Used by render/register/verify --all when resolving sources. Changing it relocates the --all glob search. [code: src/config.mjs:42; src/doc-kit.mjs:61],"Hermes writes new .doc.md files here and can pass --all knowing they're found. For machine-driven flows, explicit paths are more reliable than --all when Hermes knows which docs changed.",tested-pass,
F052,config,doc.prdsDir — rendered PRD output directory,"As an agent rendering docs, I want rendered PRD HTML in a predictable directory so I can construct the doc URL and serve it without guessing.","doc.prdsDir (relative) is where PRD HTML is written; default 'docs/prds'. A PRD slug 'my-prd' outputs to {prdsDir}/my-prd/index.html with route /{prdsDir}/my-prd/. Also used by `htw grill` to locate the rendered HTML when parsing question IDs. [code: src/config.mjs:43; src/doc-kit.mjs:62,1282; src/commands/grill.mjs:179]","After render, Hermes predicts {prdsDir}/{slug}/index.html and serve URL /{prdsDir}/{slug}/. grill ask reads prdsDir to find the rendered doc and extract question IDs — Hermes must render before grill ask.",tested-pass,
F053,config,doc.plansDir — rendered plan output directory,"As an agent rendering plan-kind docs, I want plan HTML written to a directory distinct from PRDs so they do not collide.","doc.plansDir (relative) is where report/working-doc HTML is written; default 'docs/plans'. A plan slug 'my-plan' outputs to {plansDir}/my-plan.html (flat file, not a subdirectory) with route /{plansDir}/my-plan.html. [code: src/config.mjs:44; src/doc-kit.mjs:63,1277,1283]","Different path derivation for plans vs PRDs: plans are flat .html files; PRDs are subdirectories with index.html. The distinction is driven by doc.kind in frontmatter, not by plansDir alone.",tested-pass,
F054,config,doc.docsIndexRoute — back-link route in rendered docs,"As a doc reader, I want the back-link at the top of every rendered doc to point to the correct docs index for my app, not a hardcoded route from another project.","doc.docsIndexRoute is the URL route for the docs index. BUILTIN_DEFAULTS='/docs' (Homebase); defaults.json + htw init starter='/prds'. configure() sets BACK_LINK to '<a class=""back"" href=""{docsIndexRoute}"">&larr; Docs</a>', inlined into every page. [code: src/config.mjs:45; src/doc-kit.mjs:64-65]",Hermes sets docsIndexRoute to match whatever route the app mounts the doc index at. Purely a navigation aid — does not affect any CLI behavior or output structure.,tested-pass,
F055,config,doc.stagesPath — custom lifecycle stages file,"As a project author with a custom lifecycle, I want to point the engine to my own stages.json so the StageBar reflects my project's actual lifecycle.","doc.stagesPath (relative) points to a JSON file defining STAGE_SEQUENCE + STAGE_ALIASES; default null (engine uses its inline default sequence from src/stages.mjs). When set and the file exists, configure() loads it via stages.mjs to populate runtime STAGE_SEQUENCE/STAGE_ALIASES. A missing/unreadable file falls back to inline defaults (no crash). [code: src/config.mjs:46; src/doc-kit.mjs:48-72]",Hermes driving a non-standard lifecycle (e.g. an Ops team vocabulary) sets stagesPath. Most repos leave it null and inherit the engine's default 6 stages.,tested-pass,
F056,config,answerGate.base — answer-gate API base path,"As an agent running htw grill ask, I want the answer-gate URL derived from config so I do not pass --base on every invocation.","answerGate.base is the base path/URL for gate endpoints; default '/api/hwq'. When relative (no http:// prefix), grill.mjs prepends config.devUrlBase (default http://127.0.0.1:8765) to form an absolute URL. Routes appended as {base}/open, {base}/result, {base}/close. Overridable per-invocation with --base. [code: src/config.mjs:48; src/commands/grill.mjs:64-72]","For `htw grill ask` Hermes relies on answerGate.base pointing to a live server. With `htw serve --answer-gate`, the default '/api/hwq' at port 8765 matches the init defaults. For Homebase-hosted repos with a custom endpoint, set both answerGate.base and the URL bases.",tested-pass,
F057,config,answerGate.mode — gating mode (none/local/custom),"As a repo maintainer, I want to declare whether the answer-gate is disabled, handled locally by htw serve, or handled by a custom host-private callback, so the engine and agents know what delivery behavior to expect.","answerGate.mode must be one of 'none', 'local', 'custom'; default 'none' (Submit and poll are 404-safe no-ops; the doc client degrades gracefully). 'local' = repo runs `htw serve --answer-gate`, gate live on localhost. 'custom' = consuming host provides an onAnswer callback. `htw check` validates mode is one of the three and exits 1 on any other value. [code: src/commands/check.mjs:58,141-152; src/commands/init.mjs:107]",Hermes checks answerGate.mode before `htw grill ask`: mode='none' means open returns 200 but Submit is a no-op and polls time out. The live loop only works with 'local' (htw serve running) or 'custom' (host-wired). Note: the skill docs name the custom path 'hermes' while the engine enum is 'custom'.,tested-pass,
F058,config,htw init — write canonical unified config,"As an agent setting up a new repo, I want a single command that writes a complete, schema-valid config so the repo is immediately ready for htw commands and future staleness checks.","Writes a starter to {root}/.agents/skill-config/workflow/config.json with all required keys: engineVersion (stamped from package.json), brandName (basename of root), doc.* (all 8 keys), answerGate.{base,mode}, canonicalUrlBase=null, devUrlBase='http://127.0.0.1:8765', serve.{command,port}. Creates the dir with mkdirSync({recursive:true}). Exits 0 with a stdout summary. If the file exists and --force is absent, exits 1 with a stderr error + hint. The starter is the generic public shape — no host-private values. [code: src/commands/init.mjs:88-169]",Hermes runs `htw init` as the first onboarding step. The written config is the canonical highest-precedence location. Hermes can then edit specific keys via JSON patch rather than re-running init.,tested-pass,
F059,config,htw init — engineVersion stamping,"As an agent or CI system, I want the config to record which engine version wrote it so drift detection works without querying npm.","engineVersion() reads version from {PACKAGE_ROOT}/package.json and is always written LAST (overriding any legacy-migrated value), so the stamp is always THIS running engine's version. `htw check` later compares this stamp to the running engine to detect drift. [code: src/commands/init.mjs:78-81,160]","With `npx how-to-work@latest init`, the stamped engineVersion equals the latest published version. `htw check` afterward (same installed version) exits 0. A non-zero check exit signals running `htw init --migrate --force`.",tested-pass,
F060,config,htw init --migrate — fold legacy config,"As a repo owner upgrading from the old split layout, I want one command that reads all legacy config files, folds them into the new unified shape, and writes the canonical file.","Probes three LEGACY_PATHS (lowest-to-highest precedence): .agents/skill-config/doc/config.json, .claude/skill-config/doc/config.json, .claude/skill-config/workflow/config.json. For each found split-doc config (path contains 'skill-config/doc' and no top-level 'doc' key), foldSplitDoc() moves DOC_KEYS (overlayDir, themeFile, catalogPath, sourcesDir, prdsDir, plansDir, docsIndexRoute, stagesPath) under a 'doc' sub-object, keeping other keys top-level. Each folded config is deep-merged onto the starter and announced on stdout (`htw init --migrate: folded <path>`). engineVersion restamped last. No legacy found => advisory + fresh starter (never a crash). [code: src/commands/init.mjs:26-59,141-158]",Hermes runs `htw init --migrate --force` to upgrade a repo's config atomically; each folded file is auditable in the run log. Safe to run even with no legacy files (falls back to fresh starter).,tested-pass,
F061,config,htw init --force — overwrite guard bypass,"As an agent re-stamping an already-initialized repo after an engine upgrade, I want to overwrite the existing config without manual deletion.","Without --force, if {root}/.agents/skill-config/workflow/config.json exists, init exits 1 with a stderr error including 'Re-run with --force'. With --force the file is overwritten unconditionally. --force and --migrate compose: `--migrate --force` folds legacy configs into a fresh starter and overwrites. [code: src/commands/init.mjs:131-137]","Essential for unattended upgrades. Without --force, init exits 1 on an existing config — an expected guard, not an error, if Hermes has not asked for an overwrite. Hermes passes --force when re-running init as part of an upgrade after a check exit-1.",tested-pass,
F062,config,htw check — no-config-found cases,"As an agent running htw check on an unconfigured or legacy repo, I want a clear exit code and message telling me exactly what to do next.",(A) no unified config AND no legacy split config => exit 0 with stdout advisory 'no repo config found; the engine will use bundled defaults' + a hint to run init (non-fatal: bundled defaults are always in-schema). (B) a legacy split config found (LEGACY_SPLIT_PATHS) but no unified config => exit 1 with a stderr error 'found a legacy split config ... but no unified config' + the migrate command. [code: src/commands/check.mjs:177-196],Exit 0 = OK to proceed even with no config (bundled defaults apply). Exit 1 = stop and fix before other htw commands. Case B's stderr contains the exact repair command Hermes runs.,tested-pass,
F063,config,htw check — version axis (stamped vs running),"As an agent that may run on a repo configured by a different engine version, I want check to tell me if there's a version mismatch and what to do.","Reads config.engineVersion and compares to the running engine via semver (ignoring prerelease/build). Three outcomes: (1) match — no problem; (2) stamp < running — 'config is behind', fix `npx <name>@latest init --migrate --force`; (3) stamp > running — 'engine is behind', fix `npm install -g <name>@latest` or pin to stamped. All version problems exit 1 with the fix command to stderr. [code: src/commands/check.mjs:93-107,202-216]","Hermes runs check before any substantive workflow; a non-zero exit is a hard blocker. Fix commands are machine-readable (one per line after 'fix:'). For `npx ...@latest` consumers the running version IS latest, so this axis is a no-op unless the config is improperly stamped.",tested-pass,
F064,config,htw check — schema validation axis,"As an agent or CI system, I want check to verify that every key the engine reads is present so a partially-migrated or hand-edited config never silently breaks rendering.","validateSchema() checks: top-level keys (engineVersion, doc, answerGate); all 8 doc.* sub-keys (overlayDir, themeFile, catalogPath, sourcesDir, prdsDir, plansDir, docsIndexRoute, stagesPath); answerGate.{base,mode}; answerGate.mode in ['none','local','custom']. Optional keys (canonicalUrlBase, devUrlBase, serve, agent-guidance fields) are NOT in the schema and never fail. Each missing key/invalid value is a problem string; any schema problem exits 1 and appends the `init --migrate --force` fix. [code: src/commands/check.mjs:45-59,125-153]",A 0-exit check means 'config fully valid for this engine version'. Schema failures are deterministic and fixed by re-running init — Hermes need not interpret which keys are missing; the fix command is universal.,tested-pass,
F065,config,htw check --online — npm registry advisory,"As an agent in CI or verifying currency, I want to optionally compare the running version against the latest npm release without making it a hard failure.","With --online, latestPublishedVersion() runs `npm view <name> version` (spawnSync, 15s timeout). If the running engine is behind the published version, a non-fatal warning is written to stdout ('a newer engine is published: <latest> (running <running>) — npm i -g <name>@latest'). Never increments the problems list, never affects exit code. Network failure / npm absence is silently swallowed. Without --online the npm check is skipped entirely. [code: src/commands/check.mjs:155-163,225-229]",Hermes does NOT use --online in tight loops (15s blocking npm call). Reserve for scheduled maintenance. The advisory is on stdout — scan for 'a newer engine is published' to detect it. Omit --online in offline/air-gapped environments.,tested-pass,
F066,config,htw check — dead-asset non-fatal warnings,"As a repo maintainer, I want check to tell me about leftover workflow-kit files (prd.html, base.css, theme.tokens.css, verify.py) no longer read by the engine so I can clean them up.","Scans seven DEAD_ASSET_PATHS under .agents/ and .claude/ for known stale files (prd.html, base.css, theme.tokens.css, verify.py). Each present file produces a stdout warning 'htw check: warning: dead workflow-kit asset present: <path> (unwired — safe to delete)'. Always non-fatal (never contributes to exit 1); printed even when the overall check exits 0. [code: src/commands/check.mjs:61-70,171-175,233]","Hermes does not block on dead-asset warnings (stdout, 'warning:' prefix, distinguishable from problem lines). For a full repo cleanup, Hermes can scan for these lines and delete the listed files.",tested-pass,
F067,config,serve.port — configurable default serve port,"As a repo author, I want to set the default port `htw serve` listens on in config so the team does not pass --port on every invocation.","config.serve.port is an optional integer; if present, `htw serve` uses it as the default when --port is not passed; absent => default 8765. The --port CLI flag always wins. The htw init starter writes serve.port=8765 and serve.command='npm run docs:serve'. [code: src/commands/serve.mjs:93; src/commands/init.mjs:108-109]","Hermes reads config.serve.port before constructing the grill-ask base URL or devUrlBase. If the repo's serve port differs from 8765, Hermes must set devUrlBase to 'http://127.0.0.1:{port}' so relative answerGate.base URLs resolve correctly.",tested-pass,
F068,config,canonicalUrlBase and devUrlBase — optional URL context keys,"As a repo author, I want to declare a public canonical URL (links in published docs) and a local dev URL (answer-gate resolution during authoring) so agents and the CLI use the right host.","canonicalUrlBase and devUrlBase are top-level optional strings written by htw init (null and 'http://127.0.0.1:8765'). NOT in the schema validated by check — absence never fails. devUrlBase is read by grill.mjs: when answerGate.base is relative, grill prepends devUrlBase to form an absolute URL. canonicalUrlBase is inert in the current engine (agent-guidance / future use). [code: src/commands/init.mjs:102-103; src/commands/grill.mjs:68]",Hermes sets devUrlBase to the actual address where `htw serve --answer-gate` runs before relying on a relative answerGate.base. A non-default port (serve.port=9000) requires updating devUrlBase to match or grill ask polls the wrong address.,tested-pass,
F069,skill,Step 0 — Load config first (all skills),"As an agent invoking any skill, I need the engine to read the repo's merged config before touching any path, port, brand, or command, so my invocations are always repo-aware and never hardcode stale defaults.","Before scaffolding/grilling/rendering/serving/gating, probe config in precedence (.agents/skill-config/workflow > .claude/skill-config/workflow > .agents|.claude/skill-config/doc > bundled config/defaults.json). Run `npx how-to-work@latest check`; if non-zero, run the printed init / init --migrate fix before proceeding. Never hardcode brand, host, paths, ports, or commands. [code: how-we-work/SKILL.md:12-25; scope/SKILL.md:17-24; grill/SKILL.md:18-27; doc/SKILL.md:18-31]","Critical. Hermes invokes via `npx how-to-work@latest` and resolves answerGate.base, answerGate.mode, canonicalUrlBase, doc.* from config — not hardcoded. `check --online` lets Hermes detect engine drift before a batch run.",tested-pass,
F070,skill,Canonical PRD package scaffold,"As an agent scoping or executing work, I need a single canonical PRD artifact in a predictable on-disk shape so I can read state, append to the ledger, and verify the HTML surface without guessing locations.","Scaffold with `npx how-to-work@latest new prd <slug>`, producing under doc.prdsDir/<slug>/: index.html, state.json, ledger.jsonl, resources.json, artifacts/, workers/, checks/. Use concise slugs — never prefix with 'canonical-'. Register with `register --all` after creation. [code: how-we-work/SKILL.md:47-60]",Hermes reads state.json and ledger.jsonl directly as the machine-readable source of truth — never reconstructs state from chat. The fixed package shape lets Hermes locate state.json via config doc.prdsDir without path discovery.,fixed,"scope/SKILL.md:31 makes three false claims about the scaffold: (1) says the .doc.md source goes 'under doc.sourcesDir' — engine actually writes PRD source to doc.prdsDir/<slug>/index.doc.md; (2) says the scaffold includes ':::questions grill-card stubs at the top' — fresh scaffold has no question block, only :::callout + ## Problem + :::rows + :::resources; (3) says 'Rendering it produces index.html, state.json, ledger.jsonl, resources.json' — state.json and ledger.jsonl come from `htw new`, not render, and resources.json is never created by any command. Additionally, how-we-work/SKILL.md:47-56 lists resources.json, artifacts/, workers/, and checks/ as part of the 'Default package' — none of these four items are created by `htw new` or `htw render`. | FIXED P3"
F071,skill,6-stage lifecycle as the progress metric,"As an agent tracking or reporting PRD progress, I need a canonical lifecycle sequence so I can set/read stage without ambiguity and render it consistently.","Progress is the current stage in: Working doc -> Draft PRD -> Ready for approval -> Approved -> In execution -> Done. Stage is sourced from config doc.stagesPath or the engine's built-in 6-stage sequence. Rendered as a monochrome segmented stage bar (or ring in tight spaces). Percent-complete is deprecated and at most secondary. [code: how-we-work/SKILL.md:38-45,80-88]","Hermes reads state.json `stage` as the authoritative progress signal. Flipping a stage (e.g. Approved -> In execution at send-it) means writing state.json stage/phase, .doc.md frontmatter, a ledger.jsonl event, and re-rendered HTML in one atomic pass.",tested-pass,
F072,skill,"Grill: batch independent questions, one-at-a-time for dependent ones","As a human answering grill questions, I want to respond to all independent forks in one pass but be walked through dependent decisions sequentially so I'm never asked a meaningless question before its dependency resolves.","When multiple questions do not depend on each other, present them together as sibling qcard articles in one qstack in a single response. When a question's answer changes what follows, send only that one card and wait for the answer before presenting the next. [code: grill/SKILL.md:30-32; how-we-work/SKILL.md:103-104]","When Hermes is the questioner, it must enforce this sequencing itself — not batch all questions up front. Hermes receives answers via the custom (onAnswer) path and parses which cards are newly resolved before continuing with the next dependent card or closing.",tested-pass,
F073,skill,Grill: stable card IDs and no reply-shorthand line,"As an agent parsing grill answers, I need each question to carry a stable ID so I can correlate an answer to the exact fork it resolves, without ambiguity across re-grill iterations.","Every question card carries a stable ID Q1, Q2, Q3 ... in data-qid. The recommendation section ends with the actual recommendation text — never a 'Reply X to accept / X <custom>' line. The interactive card and Copy-answers button generate the shorthand; the agent must not add it manually. [code: grill/SKILL.md:33-35; how-we-work/SKILL.md:104-105]",Hermes parses submitted payloads keyed by data-qid. Stable IDs guarantee a re-grill (after a custom/idk answer) does not confuse Q2-round-2 with Q2-round-1. Absent reply-shorthand keeps the payload clean for machine parsing.,tested-pass,
F074,skill,Start the answer gate immediately after posting questions,"As an agent that just posted grill cards, I must open the answer gate right away so the human can click Submit in the doc and I receive structured answers directly, with no copy-paste handoff.","After rendering question cards, run `npx how-to-work@latest grill ask --doc <slug> --base <answerGate.base>` (foreground when the agent can block, background otherwise). This opens the ask so the question section lights up 'the agent is waiting for your answers' and polls the gate until Submit, then delivers structured answers to the waiting process. [code: grill/SKILL.md:54-62; how-we-work/SKILL.md:106]","For Hermes the gate is the primary delivery path. In the custom (onAnswer) mode the host wires a callback that delivers answers directly to the thread — Hermes must not wait for chat/clipboard. If the agent stalls before starting the gate, submitted answers are stranded in the store and must be recovered via GET <answerGate.base>/result?key=<docKey>.",tested-pass,
